Division,MatchDate,MatchTime,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,Over25,Under25,MaxOver25,MaxUnder25,HandiSize,HandiHome,HandiAway,C_LTH,C_LTA,C_VHD,C_VAD,C_HTB,C_PHB
T1,2010-08-14,,Bucaspor,Besiktas,1402.82,1634.87,0.0,0.0,9.0,12.0,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,6.0,3.8,1.57,7.0,4.18,1.57,1.87,1.87,1.96,2.0,1.0,1.9,1.96,,,,,,
T1,2010-08-14,,Eskisehirspor,Genclerbirligi,1491.9,1466.08,4.0,7.0,0.0,3.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,2.0,3.4,3.75,2.1,3.52,4.12,2.03,1.73,2.21,1.8,-0.5,1.99,1.86,,,,,,
T1,2010-08-14,,Gaziantepspor,Kasimpasa,1457.5,1441.4,5.0,8.0,7.0,7.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1.91,3.4,4.0,2.03,3.48,4.16,2.09,1.66,2.2,1.85,-0.5,1.98,1.86,,,,,,
T1,2010-08-14,,Sivasspor,Galatasaray,1471.76,1616.38,6.0,6.0,6.0,9.0,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,5.25,3.6,1.67,5.28,3.87,1.8,1.92,1.82,2.04,1.93,0.5,2.18,1.71,,,,,,
T1,2010-08-15,,Ankaragucu,Trabzonspor,,1577.67,3.0,6.0,6.0,12.0,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,3.75,3.4,2.0,4.08,3.51,2.2,2.03,1.73,2.2,1.81,0.5,1.86,1.99,,,,,,
T1,2010-08-15,,Fenerbahce,Antalyaspor,1655.61,1488.03,7.0,13.0,5.0,5.0,4.0,0.0,H,4.0,0.0,H,,,,,,,,,,,,,1.44,4.33,7.0,1.47,4.56,9.0,1.71,2.02,1.8,2.15,-1.3,2.04,1.83,,,,,,
T1,2010-08-15,,Karabukspor,Manisaspor,1400.51,1413.08,0.0,0.0,3.0,3.0,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,,2.3,3.2,3.2,2.44,3.3,3.2,2.12,1.64,2.3,1.7,0.0,1.64,2.12,,,,,,
T1,2010-08-16,,Bursaspor,Konyaspor,1633.14,1400.51,4.0,10.0,3.0,6.0,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.33,5.0,9.0,1.4,5.0,9.25,1.72,2.01,1.79,2.1,-1.5,2.2,1.69,,,,,,
T1,2010-08-16,,Buyuksehyr,Kayserispor,1495.72,1505.28,6.0,12.0,6.0,9.0,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,2.1,3.3,3.5,2.26,3.48,3.57,2.0,1.76,2.13,1.85,-0.3,1.87,2.0,,,,,,
T1,2010-08-20,,Kayserispor,Karabukspor,1505.28,1400.51,9.0,12.0,9.0,15.0,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.83,3.4,4.5,2.02,3.5,4.7,2.0,1.76,2.14,1.9,0.0,1.32,3.11,,,,,,
T1,2010-08-20,,Konyaspor,Eskisehirspor,1400.51,1486.77,3.0,3.0,2.0,8.0,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,2.55,3.25,2.75,2.88,3.35,2.75,2.23,1.59,2.48,1.65,0.0,1.91,1.85,,,,,,
T1,2010-08-21,,Antalyaspor,Sivasspor,1488.03,1479.31,4.0,5.0,6.0,9.0,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,,2.2,3.3,3.25,2.38,3.35,3.43,2.12,1.65,2.27,1.8,0.0,1.58,2.23,,,,,,
T1,2010-08-21,,Besiktas,Buyuksehyr,1644.46,1495.72,9.0,15.0,3.0,9.0,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,1.4,4.33,8.0,1.42,4.64,10.35,2.0,1.76,2.11,1.85,-1.3,1.94,1.92,,,,,,
T1,2010-08-22,,Galatasaray,Bursaspor,1609.97,1633.14,3.0,9.0,7.0,10.0,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,,1.83,3.5,4.33,1.98,3.55,4.6,1.94,1.81,2.05,1.91,0.0,1.32,3.1,,,,,,
T1,2010-08-22,,Genclerbirligi,Gaziantepspor,1466.59,1452.62,1.0,4.0,3.0,6.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1.95,3.3,4.0,2.13,3.4,4.0,2.22,1.59,2.42,1.65,0.0,1.41,2.69,,,,,,
T1,2010-08-22,,Manisaspor,Ankaragucu,1413.08,,0.0,3.0,3.0,3.0,0.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,,2.5,3.25,2.8,2.68,3.3,2.91,2.18,1.61,2.35,1.65,0.0,1.81,1.97,,,,,,
T1,2010-08-23,,Kasimpasa,Bucaspor,1441.65,1396.35,7.0,8.0,0.0,0.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1.91,3.3,4.2,1.93,3.5,4.73,2.06,1.68,2.2,1.75,-0.5,1.89,1.97,,,,,,
T1,2010-08-23,,Trabzonspor,Fenerbahce,1577.67,1655.61,6.0,12.0,9.0,13.0,3.0,2.0,H,3.0,2.0,H,,,,,,,,,,,,,2.8,3.25,2.5,2.81,3.3,2.75,2.07,1.68,2.23,1.85,0.0,1.94,1.83,,,,,,
T1,2010-08-27,,Ankaragucu,Kayserispor,,1505.28,3.0,6.0,9.0,12.0,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,2.8,3.1,2.6,2.8,3.26,2.8,2.22,1.59,2.34,1.75,0.0,1.9,1.87,,,,,,
